Text ID	English	German	French	Spanish	Russian	Italian		Japanese
Text.Menu.Legend08JC	[IN=UI_Cancel] НАЗАД [IN=Tag] ПЕРЕМКНУТИ ЗНАКИ [IN=UI_CycleLeft] [IN=UI_CycleRight] ПРИБЛИЗИТИ/ВІДДАЛИТИ [IN=Open Ingame Menu] [IN=Use] ЗМІНИТИ ПОВЕРХ	[IN=UI_Cancel] ZURÜCK [IN=Tag] SCHLÜSSEL WECHSELN [IN=UI_CycleLeft] [IN=UI_CycleRight] ZOOM REIN/RAUS [IN=Open Ingame Menu] [IN=Use] ETAGE WECHSELN	[IN=UI_Cancel] RETOUR [IN=Tag] NAVIGUER [IN=UI_CycleLeft] [IN=UI_CycleRight] ZOOM AVANT / ARRIÈRE [IN=Open Ingame Menu] [IN=Use] CHANGER NIVEAU	[IN=UI_Cancel] ATRÁS [IN=Tag] ROTACIÓN [IN=UI_CycleLeft] [IN=UI_CycleRight] ACERCAR/ALEJAR IMAGEN [IN=Open Ingame Menu] [IN=Use] CAMBIAR DE PLANTA	НАЗАД [IN=UI_Cancel] КНОПКА ПЕРЕКЛЮЧЕНИЯ [IN=Tag] МАСШТАБ +/- [IN=UI_CycleLeft] [IN=UI_CycleRight] ДРУГОЙ ЭТАЖ [IN=Open Ingame Menu] [IN=Use]	[IN=UI_Cancel] INDIETRO [IN=Tag] CAMBIA LEGENDA [IN=UI_CycleLeft] [IN=UI_CycleRight] ZOOM IN/OUT [IN=Open Ingame Menu] [IN=Use] CAMBIA PIANO		[IN=UI_Cancel] で戻る [IN=Tag] でアイコンを切り替え [IN=UI_CycleLeft] [IN=UI_CycleRight] でズームイン/アウト [IN=Open Ingame Menu] [IN=Use] でフロアを切り替え
Text.Interaction.Drop	[IN=UI_Drop] Drop	[IN=UI_Drop] Abwurf	[IN=UI_Drop] Jeter	[IN=UI_Drop] Soltar	Положить [IN=UI_Drop]	[IN=UI_Drop] Lascia		[IN=UI_Drop] で捨てる
Text.Interaction.Hide	[IN=UI_PutIntoHidden] Заховати	[IN=UI_PutIntoHidden] Verstecken	[IN=UI_PutIntoHidden] Cacher	[IN=UI_PutIntoHidden] Ocultar	Спрятать [IN=UI_PutIntoHidden]	[IN=UI_PutIntoHidden] Nascondi		[IN=UI_PutIntoHidden] で隠す
Text.Interaction.Equip	[IN=UI_Submit] Спорядити	[IN=UI_Submit] Ausrüsten	[IN=UI_Submit] Équiper	[IN=UI_Submit] Equipar	Снарядить [IN=UI_Submit]	[IN=UI_Submit] Equipaggia		[IN=UI_Submit] で装備/手に持つ
Text.Menu.Legend07	[IN=UI_Submit] ПРОДОВЖИТИ	[IN=UI_Submit] FORTFAHREN	[IN=UI_Submit] CONTINUER	[IN=UI_Submit] CONTINUAR	ПРОДОЛЖИТЬ [IN=UI_Submit]	[IN=UI_Submit] CONTINUA		[IN=UI_Submit] で続行
Text.Interaction.Give	[IN=UI_Submit] Give	[IN=UI_Submit] Geben	[IN=UI_Submit] Donner	[IN=UI_Submit] Dar	Дать [IN=UI_Submit]	[IN=UI_Submit] Dai		[IN=UI_Submit] で渡す
Text.Interaction.Add	[IN=UI_Submit] Додати	[IN=UI_Submit] Hinzufügen	[IN=UI_Submit] Ajouter	[IN=UI_Submit] Añadir	Добавить [IN=UI_Submit]	[IN=UI_Submit] Aggiungi		[IN=UI_Submit] で追加
Text.Interaction.Take	[IN=UI_Submit] Взяти	[IN=UI_Submit] Nehmen	[IN=UI_Submit] Prendre	[IN=UI_Submit] Coger	Взять [IN=UI_Submit]	[IN=UI_Submit] Prendi		[IN=UI_Submit] で入手
Text.Interaction.Place	[IN=UI_Submit] Покласти	[IN=UI_Submit] Platzieren	[IN=UI_Submit] Déposer	[IN=UI_Submit] Colocar	Поместить [IN=UI_Submit]	[IN=UI_Submit] Posiziona		[IN=UI_Submit] で置く
Text.Menu.Legend06	[IN=UI_Submit] ПРОПУСТИТИ	[IN=UI_Submit] ÜBERSPRINGEN	[IN=UI_Submit] PASSER	[IN=UI_Submit] OMITIR	ПРОПУСК [IN=UI_Submit]	[IN=UI_Submit] SALTA		[IN=UI_Submit] でスキップ
Text.Menu.Legend01	[IN=UI_Submit] ВИБРАТИ	[IN=UI_Submit] WÄHLEN	[IN=UI_Submit] SÉLECTIONNER	[IN=UI_Submit] SELECCIONAR	ВЫБРАТЬ [IN=UI_Submit]	[IN=UI_Submit] SELEZIONA		[IN=UI_Submit] で選択
Text.Menu.Legend10	[IN=UI_Submit] ВИБРАТИ	[IN=UI_Submit] WÄHLEN	[IN=UI_Submit] SÉLECTIONNER	[IN=UI_Submit] SELECCIONAR	ВЫБРАТЬ [IN=UI_Submit]	[IN=UI_Submit] SELEZIONA		[IN=UI_Submit] で選択
Text.Menu.Legend02	[IN=UI_Submit] ВИБРАТИ [IN=UI_Cancel] НАЗАД	[IN=UI_Submit] WÄHLEN [IN=UI_Cancel] ZURÜCK	[IN=UI_Submit] SÉLECTIONNER [IN=UI_Cancel] RETOUR	[IN=UI_Submit] SELECCIONAR [IN=UI_Cancel] ATRÁS	ВЫБРАТЬ [IN=UI_Submit] НАЗАД [IN=UI_Cancel]	[IN=UI_Submit] SELEZIONA [IN=UI_Cancel] INDIETRO		[IN=UI_Submit] で選択 [IN=UI_Cancel] で戻る
Text.Menu.Legend03	[IN=UI_Submit] ВИБРАТИ [IN=UI_Cancel] НАЗАД [IN=UI_CycleLeft] [IN=UI_CycleRight] ЗМІНИТИ В’ЯЗНИЦЮ	[IN=UI_Submit] WÄHLEN [IN=UI_Cancel] ZURÜCK [IN=UI_CycleLeft] [IN=UI_CycleRight] GEFÄNGNIS WECHSELN	[IN=UI_Submit] SÉLECTIONNER [IN=UI_Cancel] RETOUR [IN=UI_CycleLeft] [IN=UI_CycleRight] CHANGER PRISON	[IN=UI_Submit] SELECCIONAR [IN=UI_Cancel] ATRÁS [IN=UI_CycleLeft] [IN=UI_CycleRight] CAMBIAR DE PRISIÓN	ВЫБРАТЬ [IN=UI_Submit] НАЗАД [IN=UI_Cancel] ПОМЕНЯТЬ ТЮРЬМУ [IN=UI_CycleLeft] [IN=UI_CycleRight]	[IN=UI_Submit] SELEZIONA [IN=UI_Cancel] INDIETRO [IN=UI_CycleLeft] [IN=UI_CycleRight] CAMBIA PRIGIONE		[IN=UI_Submit] で選択 [IN=UI_Cancel] で戻る [IN=UI_CycleLeft] [IN=UI_CycleRight] で刑務所を変更
Text.Menu.Legend03NoScroll	[IN=UI_Submit] ВИБРАТИ [IN=UI_Cancel] НАЗАД	[IN=UI_Submit] WÄHLEN [IN=UI_Cancel] ZURÜCK	[IN=UI_Submit] SÉLECTIONNER [IN=UI_Cancel] RETOUR	[IN=UI_Submit] SELECCIONAR [IN=UI_Cancel] ATRÁS	ВЫБРАТЬ [IN=UI_Submit] НАЗАД [IN=UI_Cancel]	[IN=UI_Submit] SELEZIONA [IN=UI_Cancel] INDIETRO		[IN=UI_Submit] で選択 [IN=UI_Cancel] で戻る
Text.Menu.Legend05	[IN=UI_Submit] ВИБРАТИ [IN=UI_Cancel] НАЗАД [IN=UI_CycleLeft] [IN=UI_CycleRight] ЗМІНИТИ ВКЛАДКУ	[IN=UI_Submit] WÄHLEN [IN=UI_Cancel] ZURÜCK [IN=UI_CycleLeft] [IN=UI_CycleRight] TAB WECHSELN	[IN=UI_Submit] SÉLECTIONNER [IN=UI_Cancel] RETOUR [IN=UI_CycleLeft] [IN=UI_CycleRight] CHANGER ONGLET	[IN=UI_Submit] SELECCIONAR [IN=UI_Cancel] ATRÁS [IN=UI_CycleLeft] [IN=UI_CycleRight] CAMBIAR DE PESTAÑA	ВЫБРАТЬ [IN=UI_Submit] НАЗАД [IN=UI_Cancel] СМЕНИТЬ ВКЛАДКУ [IN=UI_CycleLeft] [IN=UI_CycleRight]	[IN=UI_Submit] SELEZIONA [IN=UI_Cancel] INDIETRO[IN=UI_CycleLeft] [IN=UI_CycleRight] CAMBIA TAB		[IN=UI_Submit] で選択 [IN=UI_Cancel] で戻る [IN=UI_CycleLeft] [IN=UI_CycleRight] でタブを変更
Text.Menu.Legend04	[IN=UI_Submit] ВИБРАТИ [IN=UI_Cancel] НАЗАД [IN=UI_PrevPage] [IN=UI_NextPage] СТОРІНКА ВВЕРХ/ВНИЗ	[IN=UI_Submit] WÄHLEN [IN=UI_Cancel] ZURÜCK [IN=UI_PrevPage] [IN=UI_NextPage] SEITE HOCH/SEITE RUNTER	[IN=UI_Submit] SÉLECTIONNER [IN=UI_Cancel] RETOUR [IN=UI_PrevPage] [IN=UI_NextPage] PAGE SUIVANTE / PRÉCÉDENTE	[IN=UI_Submit] SELECCIONAR [IN=UI_Cancel] ATRÁS [IN=UI_PrevPage] [IN=UI_NextPage] PÁG. ARRIBA/PÁG. ABAJO	ВЫБРАТЬ [IN=UI_Submit] НАЗАД [IN=UI_Cancel] СТР. ВВЕРХ/ВНИЗ [IN=UI_PrevPage] [IN=UI_NextPage]	[IN=UI_Submit] SELEZIONA [IN=UI_Cancel] INDIETRO[IN=UI_PrevPage] [IN=UI_NextPage] PAGINA SU/GIÙ		[IN=UI_Submit] で選択 [IN=UI_Cancel] で戻る [IN=UI_PrevPage] [IN=UI_NextPage] でページを上下
FE.ControllerText.06	Drop	Abwurf	Jeter	Soltar	Бросить	Lascia		捨てる
FE.ControllerText.03	Attack	Angriff	Attaquer	Atacar	Атака	Attacco		攻撃
FE.ControllerText.03JC	Attack\n(Target Locked) 	Angriff\n(Ziel erfasst) 	Attaquer\n(Cible verrouillée)  	Atacar\n(Objetivo bloqueado) 	Атака\n(Цель захвачена)	Attacco\n(Obiettivo puntato)		攻撃\n（標的ロック時）
Text.Dialog.Gameplay.PlayersLeftDuringLoadBody	"While you were loading, everyone disconnected. Do you want to keep playing?"	Beim Laden haben sich alle abgemeldet. Willst du weiterspielen?	Les autres joueurs ont quitté pendant votre connexion. Voulez-vous continuer la partie ?	"Mientras cargabas la partida, los demás jugadores se han desconectado. ¿Quieres seguir jugando?"	Во время загрузки остальные игроки отключились. Продолжить игру?	Si sono disconnessi tutti durante il caricamento. Vuoi continuare a giocare?		ロード中に全員との接続が切れました。 プレイを続行しますか？
Text.Leaderboards.FailedToRead	LEADERBOARD ERROR	BESTENLISTEN FEHLER	ERREUR	ERROR DE MARCADOR	ОШИБКА ТАБЛИЦЫ ЛИДЕРОВ	ERRORE CLASSIFICA		ランキングエラー
Text.Dialog.Net.CreateRoom.FailedBody	A network error has occurred. Please check your internet connection and try again.	Ein Netzwerkfehler ist aufgetreten. Internetverbindung prüfen und nochmal versuchen.	Une erreur de réseau s'est produite. Veuillez vérifier votre connexion à Internet et réessayer.	Se ha producido un error de red. Comprueba la conexión a internet e inténtalo otra vez.	Произошла ошибка сети. Проверьте интернет-соединение и повторите попытку.	Errore di rete. Controlla la tua connessione a internet e riprova.	发生了网络错误。 请检查你的网络连接并重试。 	ネットワークエラーが発生しました。 インターネット接続をご確認の上、 やり直してください。 
FE.ControllerText.15	Block	Blocken	Contrer	Bloquear	Блок	Blocca		防御
FE.ControllerText.15JC	Block\n(Target Locked) 	Blocken\n(Ziel erfasst) 	Contrer\n(Cible verrouillée) 	Bloquear\n(Objetivo bloqueado) 	Блок\n(Цель захвачена) 	Blocca\n(Obiettivo puntato)		防御\n（標的ロック時）
Text.SaveGame.DetailSave	Save file containing configuration data	Datei mit Konfigurationsdaten speichern	Fichier contenant les données de configuration	El archivo de guardado tiene datos de configuración.	Сохраните файл с данными конфигурации	Salvataggio con dati di configurazione		設定データを含むセーブファイル
Text.Dialog.NetworkFailedToConnect	"Can't access The Escapists 2 server, please try again later https://www.team17.com/support/"	Der The Escapists 2 Server kann nicht erreicht werden. Mehr Info: https://www.team17.com/support/	Connexion au serveur de The Escapists 2 impossible pour le moment https://www.team17.com/support/	No se puede acceder al servidor de The Escapists 2. Más información: https://www.team17.com/support/	Не удается связаться с сервером The Escapists 2. Повторите попытку позже https://www.team17.com/support/	Impossibile accedere al server The Escapists 2. Riprova più tardi https://www.team17.com/support/		「The Escapists 2」サーバーへアクセスできません。 時間を置いてからやり直してください。 https://www.team17.com/support/
Text.Dialog.NetworkDisconnectDuringLoad	This session is no longer available.	Diese Session ist nicht mehr verfügbar.	La session n'est plus disponible.	Esta sesión ya no está disponible.	Этот сеанс недоступен.	Questa sessione è scaduta.		このセッションは現在利用できません。
Text.Dialog.AlreadyInThisGame.Body	You are already in the current game session.	Du bist bereits in der aktuellen Spiel-Session.	Vous êtes déjà connecté(e) à cette partie.	Ya estás en la sesión de juego actual.	Вы уже находитесь в текущем сеансе игры.	Sei già nella sessione attuale.		あなたはすでに現在のゲームセッションに参加中です。
Text.Dialog.NetworkKicked	You were kicked from the game.	Du wurdest aus dem Spiel geworfen.	Vous avez été expulsé(e) de la partie.	Has sido expulsado de la partida.	Вас выкинули из игры.	Sei stato cacciato dalla partita.		ゲームから追放されました。
Text.Dialog.NetworkDisconnect.Body	You have been disconnected from online services.	Du wurdest von den Online-Diensten getrennt.	Votre connexion aux services en ligne a été perdue.	Has sido desconectado de los servicios en línea.	Вы отключились от онлайн-сервисов.	Sei stato disconnesso dai servizi online.		オンラインサービスから切断されました。 
Text.Dialog.Net.ConnectionLostNoPrompt	You have been disconnected from online services.	Du wurdest von den Online-Diensten getrennt.	Votre connexion aux services en ligne a été perdue.	Has sido desconectado de los servicios en línea.	Вы отключились от онлайн-сервисов.	Sei stato disconnesso dai servizi online.		オンラインサービスから切断されました。 
Text.Dialog.NetworkError.Body	A network error has occurred. Please check your internet connection and try again.	Ein Netzwerkfehler ist aufgetreten. Internetverbindung prüfen und nochmal versuchen.	Une erreur de réseau s'est produite. Veuillez vérifier votre connexion à Internet et réessayer.	Se ha producido un error de red. Comprueba la conexión a Internet e inténtalo otra vez.	Произошла ошибка сети. Проверьте интернет-соединение и повторите попытку.	Errore di rete. Controlla la tua connessione a internet e riprova.		ネットワークエラーが発生しました。 インターネット接続をご確認後、 やり直してください。
Text.Dialog.Net.GoOnline.FailedBody	A network error has occurred. Please check your internet connection and try again.	Ein Netzwerkfehler ist aufgetreten. Internetverbindung prüfen und nochmal versuchen.	Une erreur de réseau s'est produite. Veuillez vérifier votre connexion à Internet et réessayer.	Se ha producido un error de red. Comprueba la conexión a Internet e inténtalo otra vez.	Произошла ошибка сети. Проверьте интернет-соединение и повторите попытку.	Errore di rete. Controlla la tua connessione a internet e riprova.		ネットワークエラーが発生しました。 インターネット接続をご確認後、 やり直してください。
Text.LeaderboardsGameType.SinglePlayer	Гра наодинці	Einzelspieler	Solo	Un jugador	Одиночная игра	Giocatore singolo		シングルプレイ
Text.Leaderboards.Friends	Друзі	Freunde	Amis	Amigos	Друзья	Amici		フレンド
Text.Dialog.ControllerDisconnect.Body	Wireless controller disconnected.	Wireless-Controller getrennt.	La manette sans fil est déconnectée.	El mando inalámbrico está desconectado.	Беспроводной контроллер отключен.	Controller wireless disconnesso.		ワイヤレスコントローラーの接続が外れました。
FE.ControllerText.13	Emotes	Gefühle	Communication	Emoticonos	Эмоции	Emote		エモート
FE.ControllerText.12	Move	Gehen	Déplacements	Mover	Перемещ.	Muovi		移動
Text.Dialog.NetworkDisconnect	DISCONNECTED	GETRENNT	DÉCONNEXION	DESCONECTADO	ОТКЛЮЧЕНО	DISCONNESSO		接続が切れました
Text.Dialog.Net.ConnectionLostTitle	DISCONNECTED	GETRENNT	DÉCONNEXION	DESCONECTADO	ОТКЛЮЧЕНО	DISCONNESSO		接続が切れました
FE.ControllerText.07	Interact/Lift (Hold)	Handeln/Heben (Halten)	Interagir / Soulever (maintenir)	Interactuar/Levantar (Mantener)	Задейств./поднять (держать)	Interagisci/Solleva (Tieni)		調べる/持ち上げる（長押し）
Text.Dialog.NetworkQuit	MAIN MENU	HAUPTMENÜ	MENU PRINCIPAL	MENÚ PRINCIPAL	ГЛАВНОЕ МЕНЮ	MENU PRINCIPALE		メインメニュー
Text.Leaderboards.Overall	Загалом	Insgesamt	Général	General	Всего	Generale		全体
FE.ControllerText.05	Inventory	Inventar	Inventaire	Inventario	Запасы	Inventario		道具袋
FE.ControllerText.04	Cycle Inventory	Inventar durchblättern	Naviguer	Rotar inventario	Переключить запасы	Scorri Inventario		アイテムを切り替え
FE.ControllerText.04JC	Cycle Inventory\n(No Target Locked)	Inventar durchblättern\n(Kein Ziel erfasst)	Naviguer\n(Aucune cible verrouillée)	Rotar inventario\n(Ningún objetivo bloqueado)	Переключить запасы\n(Цель не захвачена)	Scorri Inventario\n(Nessun obiettivo puntato)		アイテムを切り替え\n（標的非ロック時）
FE.ControllerText.14	Cycle Inventory	Inventar durchblättern	Naviguer	Rotar inventario	Переключить запасы	Scorri Inventario		アイテムを切り替え
FE.ControllerText.14JC	Cycle Inventory\n(No Target Locked)	Inventar durchblättern\n(Kein Ziel erfasst)	Naviguer\n(Aucune cible verrouillée)	Rotar inventario\n(Ningún objetivo bloqueado)	Переключить запасы\n(Цель не захвачена)	Scorri Inventario\n(Nessun obiettivo puntato)		アイテムを切り替え\n（標的非ロック時）
FE.ControllerText.01	Map	Karte	Carte	Mapa	Карта	Mappa		マップ
Text.SaveGame.SubSave	Configuration Data	Konfigurationsdaten	Configuration	Datos de configuración	Данные конфигурации	Dati di configurazione		設定データ
Text.Leaderboards.FailedToRead.Body	Failed To Retrieve Leaderboard Data.	Konnte Bestenliste nicht abfragen.	Récupération données de classement : échec.	Error al recuperar los datos del marcador.	Не удалось получить сведения таблицы лидеров.	Impossibile acquisire i dati della classifica.		ランキングデータの取得に失敗しました
Text.LeaderboardsGameType.Multiplayer	Гра в мережі	Mehrspieler	Multijoueur	Multijugador	Сетевая игра	Multigiocatore		マルチプレイ
Text.Leaderboards.MyScore	Мій рахунок	Meine Punkte	Mon score	Mis puntos	Мой счет	Miei punti		マイスコア
FE.ControllerText.08	Use	Nutzen	Utiliser	Usar	Использ.	Usa		使う
Text.Dialog.NetworkContinueOffline	CONTINUE OFFLINE	OFFLINE FORTFAHREN	CONTINUER HORS LIGNE	SEGUIR SIN CONEXIÓN	ПРОДОЛЖ. АВТОНОМНО	CONTINUA OFFLINE		オフラインで続行
Text.Menu.Campaign.SetupOnlinePrisonFailed	Couldn't go online. Would you like to load this save data offline instead?	Online gehen unmöglich. Willst du diese Speicherdaten offline laden?	Accès au mode en ligne impossible. Voulez-vous charger cette partie en mode hors ligne ?	No ha sido posible conectarse. ¿Quieres cargar esta partida guardada en modo sin conexión?	Не удается войти в сеть. Загрузить эти сохраненные данные в автономном режиме?	Impossibile andare online. Vuoi caricare questo salvataggio offline?		オンラインに移行できません。 オフラインでこのセーブデータを読み込みますか？
Text.UI.ShowCard	ГЛЯНУТИ ПРОФІЛЬ	PROFIL EINSEHEN	VOIR PROFIL	VER PERFIL	СМОТР. ПРОФИЛЬ	GUARDA PROFILO		プロフィールを見る
Text.Dialog.Net.CreateRoom.CreateBody	"Setting up the game, please wait."	"Spiel einrichten, bitte warten."	"Création de la partie, veuillez patienter."	"Configurando partida, espera, por favor."	"Идет установка игры, подождите."	"Preparazione partita, attendi."		ゲームを設定中です、お待ちください。
Text.Dialog.Net.CreateRoom.CreateTitle	CREATING GAME	SPIEL ERSTELLEN	CRÉATION	CREANDO PARTIDA	СОЗДАНИЕ ИГРЫ	CREAZIONE PARTITA		ゲームを作成中
Text.Dialog.Net.JoinRoom.GettingInfoTitle	GETTING GAME INFO	SPIEL-INFO HOLEN	RÉCUPÉRATION DES INFOS	OBTENIENDO INFO. DE PARTIDA	ПОЛУЧЕНИЕ ИНФОРМАЦИИ	ACQUISIZIONE INFO PARTITA		ゲーム情報を取得中
Text.Dialog.Net.JoinRoom.GettingInfoBody	"Getting game info, please wait."	"Spiel-Info holen, bitte warten."	"Récupération infos de partie, patienter."	"Obteniendo info., espera, por favor."	Выполняется получение игровой информации.	"Acquisizione info partita, attendi."		ゲーム情報を取得中です、お待ちください。
FE.ControllerText.02	Game Management	Spielverwaltung	Gestion de partie	Gestión de la partida	Управление игрой	Gestione gioco		ゲーム管理
FE.ControllerText.11	Tag	Taggen	Repère	Marcar	Метка	Marchio		マーク付け
Text.SaveGame.TitleSave	The Escapists 2	The Escapists 2	The Escapists 2	The Escapists 2	Escapists 2	The Escapists 2		The Escapists 2
Text.Dialog.Net.GoOnline.StartTitle	CONNECTING	VERBINDEN	CONNEXION	CONECTANDO	ПОДКЛЮЧЕНИЕ	CONNESSIONE		接続中
Text.Dialog.Net.JoinRoom.StartTitle	CONNECTING	VERBINDEN	CONNEXION	CONECTANDO	ПОДКЛЮЧЕНИЕ	CONNESSIONE		接続中
Text.Dialog.Net.GoOnline.StartBody	"Connecting, please wait."	"Verbinden, bitte warten."	"Connexion, veuillez patienter."	"Conectando, espera, por favor."	Выполняется подключение.	"Connessione in corso, attendi."		接続中です、お待ちください。
Text.Dialog.Net.JoinRoom.StartBody	"Connecting, please wait."	"Verbinden, bitte warten."	"Connexion, veuillez patienter."	"Conectando, espera, por favor."	Выполняется подключение.	"Connessione in corso, attendi."		接続中です、お待ちください。
Text.LeaderboardsGameType.Versus	Поєдинок	Versus	Versus	Contra	Соперник	VS		対戦
Text.Dialog.ControllerDisconnect	WARNING	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		警告
Text.Dialog.NetworkError	WARNING	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		警告
Text.Dialog.Net.CreateRoom.FailedTitle	WARNING	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		警告
Text.Dialog.Net.GoOnline.FailedTitle	WARNING	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		警告
Text.Dialog.Net.JoinRoom.FailedTitle	WARNING	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		警告
Text.Dialog.Gameplay.PlayersLeftDuringLoadTitle	WARNING	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		警告
Text.Dialog.AlreadyInThisGame	WARNING	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		警告
FE.ControllerText.09	Change Target	Ziel ändern	Changer de cible	Cambiar objetivo	Изменить цель	Cambia obiettivo		標的を変更
FE.ControllerText.10	Target Lock	Ziel fassen	Verrouiller cible	Fijar objetivo	Захват цели	Punta obiettivo		標的をロック
Text.Dialog.PrimarySwitch	WARNING	WARNUNG!	ATTENTION ! 	¡ATENCIÓN! 	ВНИМАНИЕ! 	ATTENZIONE! 		警告
Text.Dialog.PrimarySwitch.Body	Are you sure you want to switch the Primary User?	Willst du wirklich den Hauptnutzer wechseln?	Voulez-vous vraiment changer d'utilisateur principal ?	¿Seguro que quieres cambiar el usuario principal?	Переключить основного пользователя?	Vuoi veramente cambiare l’utente principale?		メインユーザーを切り替えてもよろしいですか？
Text.Interaction.Buy 	[IN=UI_Submit] Buy	[IN=UI_Submit] Kaufen	[IN=UI_Submit] Acheter	[IN=UI_Submit] Comprar	[IN=UI_Submit] Купить	[IN=UI_Submit] Compra		[IN=UI_Submit] で買う
Text.Presence.InGameTutorial 	Learning the ins and outs of Prison Life	Lernt die Feinheiten des Lebens im Gefängnis	Apprend les ficelles de la vie carcérale	Aprendiendo los pros y contras de la vida en prisión	Узнаем азы тюремной жизни	Imparando i pro e i contro della vita in prigione		刑務所生活のすべてを学んでいる
Text.Presence.EscapedTutorial	Ready to take on the prison life.	Bereit für das Leben im Gefängnis.	Prêt à vivre la vie carcérale.	Preparado para la vida en prisión.	Готовы окунуться в тюремную жизнь.	Pronto ad affrontare la vita in prigione.		刑務所生活を始める準備が整った。
Text.Interaction.Mould	[IN=SecondaryInteraction] Mould	[IN=SecondaryInteraction] Formen	[IN=SecondaryInteraction] Mouler	[IN=SecondaryInteraction] Moldear	[IN=SecondaryInteraction] Трепка	[IN=SecondaryInteraction] Stampo		[IN=SecondaryInteraction] でカタを取る
Text.Menu.Legend11	[IN=UI_Submit] ВИБРАТИ [IN=UI_Cancel] НАЗАД [IN=SecondaryInteraction] ПІДТВЕРДИТИ [IN=UI_CycleLeft] [IN=UI_CycleRight] ЗМІНИТИ ВКЛАДКУ	[IN=UI_Submit] WÄHLEN [IN=UI_Cancel] ZURÜCK [IN=SecondaryInteraction] BESTÄTIGEN [IN=UI_CycleLeft] [IN=UI_CycleRight] TAB WECHSELN	[IN=UI_Submit] SÉLECTIONNER [IN=UI_Cancel] RETOUR [IN=SecondaryInteraction] CONFIRMER [IN=UI_CycleLeft] [IN=UI_CycleRight] CHANGER D'ONGLET	[IN=UI_Submit] SELECCIONAR [IN=UI_Cancel] ATRÁS [IN=SecondaryInteraction] CONFIRMAR[IN=UI_CycleLeft] [IN=UI_CycleRight] CAMBIAR DE PESTAÑA	ВЫБРАТЬ[IN=UI_Submit] НАЗАД [IN=UI_Cancel] ПОДТВЕРДИТЬ [IN=SecondaryInteraction] СМЕНИТЬ ВКЛАДКУ [IN=UI_CycleLeft] [IN=UI_CycleRight] 	[IN=UI_Submit] SELEZIONA [IN=UI_Cancel] INDIETRO [IN=SecondaryInteraction] CONFERMA [IN=UI_CycleLeft] [IN=UI_CycleRight] CAMBIA TAB		[IN=UI_Submit] で選択 [IN=UI_Cancel] で戻る [IN=SecondaryInteraction] で決定 [IN=UI_CycleLeft] [IN=UI_CycleRight] でタブを変更
Text.Dialog.NoConnection	DISCONNECTED	GETRENNT	DÉCONNEXION	DESCONECTADO	ОТКЛЮЧЕНО	DISCONNESSO		接続が切れました
Text.Dialog.NoConnection.Body	Please check your connection to online services.	Bitte Verbindung zu Online-Diensten prüfen.	Veuillez vérifier votre connexion aux services en ligne.	Comprueba la conexión a los servicios en línea.	Проверьте подключение к онлайн-сервисам.	Controlla la tua connessione ai servizi online.	请检查你与在线服务的连接。 	オンラインサービスとの接続をご確認ください。 
Text.ActivityFeed.EscapedPrisonTutorial.Cap	"$USER_NAME_OR_ID has brushed up their skills, escaping Precinct 17!"	$USER_NAME_OR_ID hat seine Fähigkeiten aufpoliert und ist aus dem Precinct 17 ausgebrochen!	$USER_NAME_OR_ID a rafraîchi ses compétences en s'échappant du Commissariat 17 !	$USER_NAME_OR_ID ha migliorato le sue capacità per fuggire da Precinct 17!	"Игрок $USER_NAME_OR_ID усовершенствовал свои навыки, бежав из Precinct 17!"	¡$USER_NAME_OR_ID ha pulido sus habilidades y escapado de Precinct 17!		$USER_NAME_OR_ID は「第17分署」から脱獄し、スキルを学び直した！
Text.Menu.HoldToCraft 	Утримуйте [IN=UI_Submit]	Halte [IN=UI_Submit]	Tenir [IN=UI_Submit] appuyé	Manten [IN=UI_Submit]	Удерживайте [IN=UI_Submit]	Tenere [IN=UI_Submit]		[IN=UI_Submit] を長押し
Text.Interaction.Clone	[IN=SecondaryInteraction] Clone	[IN=SecondaryInteraction] Kopieren	[IN=SecondaryInteraction] Copier	[IN=SecondaryInteraction] Copiar	[IN=SecondaryInteraction] Копировать	[IN=SecondaryInteraction] Copiare		[IN=SecondaryInteraction] で複製
Text.Menu.Legend12	[IN=UI_Submit] ВИБРАТИ	[IN=UI_Submit] WÄHLEN	[IN=UI_Submit] SÉLECTIONNER	[IN=UI_Submit] SELECCIONAR	ВЫБРАТЬ [IN=UI_Submit]	[IN=UI_Submit] SELEZIONA		[IN=UI_Submit] で選択
Text.Menu.CreateLobby 	CREATE LOBBY 	LOBBY ERSTELLEN	CRÉER UN SALON	CREAR SALA	СОЗДАТЬ ЛОББИ	CREA LOBBY		ロビーを作成
Text.Menu.InLobby 	In Lobby 	In Lobby	Dans le salon	En la sala	В лобби	Nella Lobby		ロビー内
