Text ID	English	German	French	Spanish	Russian	Italian		
Text.Dialog.Net.GoOnline.StartBody	"З’єднання, будь ласка, зачекайте."	"Verbinden, bitte warten. "	"Connexion, veuillez patienter. "	"Conectando, espera, por favor. "	Выполняется подключение. 	"Connessione in corso, attendi. "		
Text.Dialog.Net.GoOnline.FailedTitle	УВАГА	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		
Text.Dialog.Net.GoOnline.FailedBody	Виникла помилка мережі. Будь ласка, перевірте під’єднання до неї та спробуйте ще раз.	Ein Netzwerkfehler ist aufgetreten. Internetverbindung prüfen und nochmal versuchen.	Une erreur de réseau s'est produite. Veuillez vérifier votre connexion à Internet et réessayer.	Se ha producido un error de red. Comprueba la conexión a internet e inténtalo otra vez.	Произошла ошибка сети. Проверьте интернет-соединение и повторите попытку.	Errore di rete. Controlla la tua connessione a internet e riprova.		
Text.Dialog.Net.JoinRoom.StartTitle	З’ЄДНАННЯ	VERBINDEN	CONNEXION	CONECTANDO	ПОДКЛЮЧЕНИЕ	CONNESSIONE		
Text.Dialog.Net.JoinRoom.StartBody	"З’єднання, будь ласка, зачекайте."	"Verbinden, bitte warten."	"Connexion, veuillez patienter."	"Conectando, espera, por favor."	Выполняется подключение.	"Connessione in corso, attendi."		
Text.Dialog.Net.JoinRoom.FailedTitle	УВАГА	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		
Text.Dialog.Net.JoinRoom.FailedBody	Ви не можете приєднатися до ігрового сеансу, адже він заповнений.	"Du kannst dieser Spielsitzung nicht beitreten, da keine Plätze mehr frei sind."	Impossible de rejoindre cette session de jeu car elle est pleine.	No puedes unirte a esta partida porque ya está completa.	"Вы не можете присоединиться к сеансу, поскольку нет мест."			
Text.Dialog.Net.JoinRoom.GettingInfoTitle	ОТРИМАННЯ ВІДОМОСТЕЙ ПРО ГРУ	SPIEL-INFO HOLEN	RÉCUPÉRATION DES INFOS	OBTENIENDO INFO. DE PARTIDA	ПОЛУЧЕНИЕ ИНФОРМАЦИИ	ACQUISIZIONE INFO		
Text.Dialog.Net.JoinRoom.GettingInfoBody	"Отримання відомостей про гру, будь ласка, зачекайте."	"Spiel-Info holen, bitte warten."	"Récupération infos de partie, patienter."	"Obteniendo info., espera, por favor."	Выполняется получение игровой информации.	"Acquisizione info partita, attendi."		
Text.Dialog.Net.JoinRoom.GameUnavailableBody	Цей сеанс більше не доступний.	Session nicht mehr verfügbar.	Cette session n'est plus disponible.	Esta sesión ya no está disponible.	Данный сеанс больше не доступен.	Questa sessione non è più disponibile.		
Text.Dialog.Net.JoinRoom.GameFull	Ви не можете приєднатися до ігрового сеансу, адже він заповнений.	"Du kannst dieser Spielsitzung nicht beitreten, da keine Plätze mehr frei sind."	Impossible de rejoindre cette session de jeu car elle est pleine.	No puedes unirte a esta partida porque ya está completa.	"Вы не можете присоединиться к сеансу, поскольку нет мест."	Non puoi unirti alla sessione di gioco perché è piena.		
Text.Dialog.Gameplay.PlayersLeftDuringLoadTitle	УВАГА	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		
Text.Dialog.Gameplay.PlayersLeftDuringLoadBody	"Доки ви під’єднювалися, всі покинули гру. Бажаєте продовжити грати?"	Beim Laden haben sich alle abgemeldet. Willst du weiterspielen?	Les autres joueurs ont quitté pendant votre connexion. Voulez-vous continuer la partie ?	Mientras cargabas la partida los demás jugadores se han desconectado. ¿Quieres seguir jugando?	Во время загрузки остальные игроки отключились. Продолжить игру?	Si sono disconnessi tutti durante il caricamento. Vuoi continuare a giocare?		
Text.Menu.Campaign.SetupOnlinePrisonFailed	Couldn't go online. Would you like to load this save data offline instead?	Online gehen unmöglich. Willst du diese Speicherdaten offline laden?	Accès au mode en ligne impossible. Voulez-vous charger cette partie en mode hors ligne ?	No ha sido posible conectarse. ¿Quieres cargar esta partida guardada en modo sin conexión?	Не удается войти в сеть. Загрузить эти сохраненные данные в автономном режиме?	Impossibile andare online. Vuoi caricare questo salvataggio offline?		
Text.Leaderboards.Overall	Загалом	Insgesamt	Général	General	Всего	Generale		
Text.Leaderboards.MyScore	Мій рахунок	Meine Punkte	Mon score	Mis puntos	Мой счет	Miei punti		
Text.Leaderboards.Friends	Друзі	Freunde	Amis	Amigos	Друзья	Amici		
Text.Leaderboards.FailedToRead	LEADERBOARD ERROR	BESTENLISTEN FEHLER	ERREUR	ERROR EN EL MARCADOR	ОШИБКА ТАБЛИЦЫ ЛИДЕРОВ	ERRORE CLASSIFICA		
Text.Leaderboards.FailedToRead.Body	Failed To Retrieve Leaderboard Data.	Konnte Bestenliste nicht abfragen.	Récupération données de classement : échec.	Error al recuperar los datos del marcador.	Не удалось получить сведения таблицы лидеров.	Impossibile acquisire i dati della classifica.		
Text.LeaderboardsGameType.SinglePlayer	Гра наодинці	Einzelspieler	Solo	Un jugador	Одиночная игра	Giocatore singolo		
Text.LeaderboardsGameType.Multiplayer	Гра в мережі	Mehrspieler	Multijoueur	Multijugador	Сетевая игра	Multigiocatore		
Text.LeaderboardsGameType.Versus	Поєдинок	Versus	Versus	Contra	Соперник	VS		
Text.UI.ShowCard	ГЛЯНУТИ ПРОФІЛЬ	PROFIL EINSEHEN	VOIR PROFIL	VER PERFIL	СМОТР. ПРОФИЛЬ	GUARDA PROFILO		
Text.Dialog.AlreadyInThisGame	WARNING	WARNUNG	ATTENTION	ATENCIÓN	ВНИМАНИЕ	AVVISO		
Text.Dialog.AlreadyInThisGame.Body	You are already in the current game session.	Du bist bereits in der aktuellen Spiel-Session.	Vous êtes déjà connecté(e) à cette partie.	Ya estás en la sesión de juego actual.	Вы уже находитесь в текущем сеансе игры.	Sei già nella sessione attuale.		
Text.Menu.Legend10	[IN=UI_Submit] ВИБРАТИ	[IN=UI_Submit] WÄHLEN	[IN=UI_Submit] SÉLECTIONNER	[IN=UI_Submit] SELECCIONAR	ВЫБРАТЬ [IN=UI_Submit]	[IN=UI_Submit] SELEZIONA		
Text.Dialog.NetworkFailedToConnect	"Неможливо отримати доступ до серверу The Escapists 2, будь ласка, спробуйте пізніше https://www.team17.com/support/"	Der The Escapists 2 Server kann nicht erreicht werden. Mehr Info: https://www.team17.com/support/	Connexion au serveur de The Escapists 2 impossible pour le moment https://www.team17.com/support/	No se puede acceder al servidor de The Escapists 2. Más información: https://www.team17.com/support/	Не удается связаться с сервером The Escapists 2. Повторите попытку позже https://www.team17.com/support/	Impossibile accedere al server The Escapists 2. Riprova più tardi https://www.team17.com/support/		
Text.Dialog.NetworkDisconnectDuringLoad	[IN=UI_Submit] ВИБРАТИ [IN=UI_Cancel] НАЗАД [IN=SecondaryInteraction] ПІДТВЕРДИТИ	[IN=UI_Submit] WÄHLEN [IN=UI_Cancel] ZURÜCK [IN=SecondaryInteraction] BESTÄTIGEN	[IN=UI_Submit] SÉLECTIONNER [IN=UI_Cancel] RETOUR [IN=SecondaryInteraction] CONFIRMER	[IN=UI_Submit] SELECT [IN=UI_Cancel] ATRÁS [IN=SecondaryInteraction] CONFIRMAR	[IN=UI_Submit] SELECT [IN=UI_Cancel] НАЗАД [IN=SecondaryInteraction] ПОДТВЕРДИТЬ	[IN=UI_Submit] SELEZIONA [IN=UI_Cancel] INDIETRO [IN=SecondaryInteraction] CONFERMA		
Text.Interaction.Buy 	[IN=UI_Submit] Buy	[IN=UI_Submit] Kaufen	[IN=UI_Submit] Acheter	[IN=UI_Submit] Comprar	[IN=UI_Submit] Купить	[IN=UI_Submit] Compra		
Text.Interaction.Mould	[IN=SecondaryInteraction] Mould	[IN=SecondaryInteraction] Formen	[IN=SecondaryInteraction] Mouler	[IN=SecondaryInteraction] Moldear	[IN=SecondaryInteraction] Трепка	[IN=SecondaryInteraction] Stampo		
Text.Menu.Legend11	[IN=UI_Submit] ВИБРАТИ [IN=UI_Cancel] НАЗАД [IN=SecondaryInteraction] ПІДТВЕРДИТИ [IN=UI_CycleLeft] [IN=UI_CycleRight] ЗМІНИТИ ВКЛАДКУ	[IN=UI_Submit] WÄHLEN [IN=UI_Cancel] ZURÜCK [IN=SecondaryInteraction] BESTÄTIGEN [IN=UI_CycleLeft] [IN=UI_CycleRight] TAB WECHSELN	[IN=UI_Submit] SÉLECTIONNER [IN=UI_Cancel] RETOUR [IN=SecondaryInteraction] CONFIRMER [IN=UI_CycleLeft] [IN=UI_CycleRight] CHANGER D'ONGLET	[IN=UI_Submit] SELECCIONAR [IN=UI_Cancel] ATRÁS [IN=SecondaryInteraction] CONFIRMAR[IN=UI_CycleLeft] [IN=UI_CycleRight] CAMBIAR DE PESTAÑA	[IN=UI_Submit] ВЫБРАТЬ [IN=UI_Cancel] НАЗАД [IN=SecondaryInteraction] ПОДТВЕРДИТЬ [IN=UI_CycleLeft] [IN=UI_CycleRight] СМЕНИТЬ ВКЛАДКУ	[IN=UI_Submit] SELEZIONA [IN=UI_Cancel] INDIETRO [IN=SecondaryInteraction] CONFERMA [IN=UI_CycleLeft] [IN=UI_CycleRight] CAMBIA TAB		
Text.Menu.HoldToCraft 	Утримуйте [IN=UI_Submit]	Halte [IN=UI_Submit]	Tenir [IN=UI_Submit] appuyé	Manten [IN=UI_Submit]	Удерживайте [IN=UI Submit]	Tenere [IN=UI_Submit]		
Text.Interaction.Clone	[IN=SecondaryInteraction] Clone	[IN=SecondaryInteraction] Kopieren	[IN=SecondaryInteraction] Copier	[IN=SecondaryInteraction] Copiar	[IN=SecondaryInteraction] Копировать	[IN=SecondaryInteraction] Copiare		
Text.Menu.Legend12	[IN=UI_Submit] SELECT [IN=FE_AccountPicker] ACCOUNT PICKER	[IN=UI_Submit] WÄHLEN [IN=FE_AccountPicker] KONTO-WÄHLER	[IN=UI_Submit] SÉLECTIONNER [IN=FE_AccountPicker] CHOIX DE COMPTE	[IN=UI_Submit] SELECCIONAR [IN=FE_AccountPicker] SELECTOR DE CUENTA	ВЫБРАТЬ [IN=UI_Submit] ФУНКЦИЯ ВЫБОРА УЧЕТНОЙ ЗАПИСИ [IN=FE_AccountPicker]	[IN=UI_Submit] SELEZIONA [IN=FE_AccountPicker] SCELTA ACCOUNT		
								
Text.Menu.DLC  	ДОПОВНЕННЯ 	ADD-ONS 	EXTENSIONS 	COMPLEMENTOS 	ДОПОЛНЕНИЯ 	ADD-ON 		
Text.Menu.NewDLC	Нове доповнення доступно	Neuer Add-Ons erhältlich	Nouvelles extensions disponible	Nuevos Complementos  disponible	Доступен новый Дополнение	Nuovo Add-ons disponibile		
Text.Menu.DLCName01	Славетний устрій	The Glorious Regime	The Glorious Regime	The Glorious Regime	The Glorious Regime	The Glorious Regime		
Text.Menu.DLCDescription01  	"Раніше це було місце для відпочинку та відновлення сил, а тепер у цих стінах знаходяться лабораторії та зберігаються жахливі потвори. Тут прекрасне місце, аби проводити випробування над ув'язненими! Будьте обережні… нежить вартує спокій, а примари блукають коридорами…"	"Die umfangreiche Propaganda-Kampagne des Glorreichen Anführers hat die Bewohner dieses einst glücklichen und freien Ortes einer Gehirnwäsche unterzogen und ihnen eingetrichtert, sie würden in der größten und reichsten Nation der Welt leben. Aber du weißt es besser ..."	"La campagne de propagande de notre chef a convaincu les résidents de cet endroit, autrefois libre et agréable, qu'ils vivaient dans la plus grande et plus prospère nation du monde entier. Mais vous savez ce qu'il en est..."	"La exhaustiva campaña propagandística del glorioso líder les ha lavado el cerebro a los residentes de este lugar, antes libre y feliz, con la idea de que viven en la nación más prospera y grande del mundo entero. Pero tú sabes que no es así..."	"Культ личности Великого Вождя заставил жителей этой некогда счастливой и свободной страны поверить, что они представляют собой величайшую и процветающую нацию. Но вы-то знаете, что все не так..."	"La grande campagna di propaganda del Leader Glorioso ha fatto il lavaggio del cervello agli abitanti di questo posto, un tempo libero e felice. Ora credono di vivere nella nazione più grande e prospera del mondo intero. Ma tu conosci la verità..."		
Text.Menu.DLCName02	Проклята варта	Wicked Ward	Wicked Ward	Wicked Ward	Wicked Ward	Wicked Ward		
Text.Menu.DLCDescription02  	"Велика пропаґандистська кампанія Славетного Вождя промила мізки мешканцям цього, колись щасливого та вільного місця, і зуміла переконати їх, що вони живуть у найвеличнішій та найбагатшій країні у всьому світі. Але вам відома геть інша правда…"	"Einst war es ein Ort der Ruhe und Erholung, aber nun befinden sich hinter diesen Mauern Labore und entsetzliche Abscheulichkeiten. Der ideale Ort, um Experimente an Gefangenen durchzuführen! Sei gewarnt ... Untote Angestellte sorgen für Ruhe und Geistererscheinungen wandern durch die Flure ..."	"Autrefois un endroit dédié au repos et au rétablissement, ces murs abritent désormais des laboratoires et d'affreuses abominations. C'est l'endroit parfait pour mener des expériences sur les prisonniers ! Attention... c'est un personnel de morts-vivants qui préserve la paix, et des fantômes hantent les couloirs..."	"Lo que antaño fue un lugar para el reposo y la recuperación, ahora alberga laboratorios y horrendas abominaciones. ¡Es el lugar perfecto para realizar experimentos con los prisioneros! Ten cuidado... Los no-muertos mantienen la paz en el lugar mientras los fantasmas vagan por sus muros..."	"Когда-то в этих стенах царил покой и люди восстанавливали душевные силы. Но сейчас здесь лишь лаборатории и жуткие, искаженные создания. Отличное место для экспериментов над заключенными! Будьте осторожны... За порядком здесь следит настоящая нежить, а по коридорам бродят призраки..."	"Un tempo era un posto per riprendersi e curarsi, ma ora queste mura contengono dei laboratori e ospitano spaventosi abomini. È un luogo perfetto per fare esperimenti sui prigionieri! Meglio fare attenzione... il personale di non morti mantiene l'ordine, mentre dei fantasmi appaiono nei corridoi..."		
Text.Menu.GoToStore	Xbox Store 	Xbox Store 	Marché Xbox 	Tienda Xbox 	Магазин Xbox 	Xbox Store 		
Text.Menu.PrisonDLC  	В’ЯЗНИЦІ	GEFÄNGNISSE	PRISONS	PRISIONES	ТЮРЬМЫ	PRIGIONI		
Text.Menu.SeasonPassName	Сезонний перепуск	Saison-Pass	Season pass	Pase de temporada	Сезонный абонемент	Pass Stagionale		
Text.Menu.SeasonPassDescription	"Отримайте доступ до додаткового вмісту для The Escapists 2 зі сезонним перепуском. Випробуйте свої здібності втечі, вибравшись з трьох приголомшливих незвіданих в’язниць з особливими предметами, вбраннями для персонажа та новими захопливим способами накивати п’ятами!"	"Hol dir Zugang zu spannendem zusätzlichen Inhalt von The Escapists 2 – mit dem Saison-Pass. Teste deine Fluchttalente, indem du aus drei neuen hochinteressanten Gefängnissen ausbrichst, mit zusätzlichen Gegenständen, Anpassungen und aufregenden Fluchtwegen!"	"Grâce au pass saisonnier, accédez au nouveau contenu d'exception de The Escapists 2. Mettez vos compétences à l'épreuve pour vous évader des trois nouvelles prisons fantastiques avec des objets supplémentaires, des options de personnalisation et de nouvelles méthodes d'évasion palpitantes !"	"Consigue acceso a contenido adicional para The Escapists 2 con el pase de temporada. ¡Pon a prueba tus habilidades de fuga de tres prisiones superemocionantes con objetos adicionales, personalizaciones y nuevas formas de escapar!"	"Приобретите сезонный абонемент на The Escapists 2 и получите доступ к потрясающим дополнительным материалам. Узнайте, насколько вы хороши в побегах: мы приготовили для вас три захватывающих новых тюрьмы, дополнительные предметы, пользовательские настройки и потрясающие новые способы побега!"	"Ottieni l'accesso a nuovi entusiasmanti contenuti in The Escapists 2 con il pass stagionale. Metti alla prova le tue capacità di fuga evadendo da tre nuove fantastiche prigioni con elementi extra, personalizzazioni e nuovi emozionanti modi di fuggire!"		
								
Text.Prison.DLC02	Проклята варта	Wicked Ward	Wicked Ward	Wicked Ward	Wicked Ward	Wicked Ward		
Text.Menu.Streamers	Стримери (застосовується після клацу на «ВИПАДКОВО»)	"Streamers (gilt nach ""NACH ZUFALL"")"	"Streamers (s'applique après ""ALÉATOIRE"")"	"Streamers (se aplica después de ""ALEATORIO"")"	стримеры (применяется после «СЛУЧАЙНО»)	"Streamers (si applica dopo ""CASUALE"")"		
								
Text.Menu.Legend02A	[IN=UI_Submit] ВИБРАТИ [IN=UI_Cancel] НАЗАД	[IN=UI_Submit] WÄHLEN [IN=UI_Cancel] ZURÜCK	[IN=UI_Submit] SÉLECTIONNER [IN=UI_Cancel] RETOUR	[IN=UI_Submit] SELECCIONAR [IN=UI_Cancel] ATRÁS	ВЫБРАТЬ [IN=UI_Submit] НАЗАД [IN=UI_Cancel]	[IN=UI_Submit] SELEZIONA [IN=UI_Cancel] INDIETRO	[IN=UI_Submit] 选择 [IN=UI_Cancel] 后退	[IN=UI_Submit] で選択 [IN=UI_Cancel]
								
Text.Menu.SplitScreenAvilable	Інші локальні гравці можуть приєднатися, натиснувши [IN=UI_Submit]…	Zusätzliche lokale Spieler drücken zum Beitreten [IN=UI_Submit] …	"Joueurs en local supplémentaires, appuyez sur [IN=UI_Submit] pour rejoindre la partie..."	Los jugadores locales adicionales deben pulsar [IN=UI_Submit] para unirse...	"Новые локальные игроки могут присоединиться, нажав кнопку [IN=UI_Submit]..."	I giocatori locali aggiuntivi devono premere [IN=UI_Submit] per unirsi…	额外本地玩家按下[IN=UI_Submit]键加入游戏…… 	追加のローカルプレイヤーは[IN=UI_Submit]を押すと参加できます…
Text.Menu.SplitScreenAvilablePauseScreen	"Поверніться у гру, щоб інші локальні гравці могли приєднатися, натиснувши [IN=UI_Submit]…"	Setze das Spiel fort und zusätzliche lokale Spieler drücken zum Beitreten [IN=UI_Submit] …	"Reprenez la partie et joueurs en local supplémentaires, appuyez sur [IN=UI_Submit] pour rejoindre la partie..."	"Reanuda el juego, y los jugadores locales adicionales tendrán que pulsar [IN=UI_Submit] para unirse..."	"Возобновите игру. После этого новые локальные игроки могут присоединиться, нажав кнопку [IN=UI_Submit]..."	"Riprendi la partita, poi i giocatori locali aggiuntivi devono premere [IN=UI_Submit] per unirsi…"	继续游戏， 额外本地玩家按下[IN=UI_Submit]键加入游戏…… 	ゲームを再開した後、追加のローカルプレイヤーは[IN=UI_Submit]を押すと参加できます…
Text.Menu.SplitScreenAvilablePauseScreenAlt	Інші локальні гравці можуть приєднатися, натиснувши [IN=UI_Submit]…	Zusätzliche lokale Spieler drücken im Spiel zum Beitreten [IN=UI_Submit] …	"Joueurs en local supplémentaires, appuyez sur [IN=UI_Submit] en jeu pour rejoindre la partie..."	Los jugadores locales adicionales deben pulsar [IN=UI_Submit] en el juego para unirse...	"Новые локальные игроки могут присоединиться, нажав кнопку [IN=UI_Submit] в игре..."	I giocatori locali aggiuntivi premano [IN=UI_Submit] nel gioco per unirsi…	额外本地玩家在游戏中按下[IN=UI_Submit]键加入游戏…… 	追加のローカルプレイヤーは[IN=UI_Submit]を押すとゲームに参加できます…
								
END								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
